"","Order","Family","Genus_V_1.2","Species_V_1.2","TaxonID","Bin.","Synonyms.","Mass_g","WoS.Hits","Animal","Vertebrate","Mammal","Bird","Herptile","Fish","Invertebrate","Plant","Seed","Fruit","Nectar","Root","Leaf","Woody","Herbaceous","Other","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"34","CARNIVORA","Canidae","Canis","mesomelas",419,"Canis_mesomelas","","8500",22,1,1,"1",0,0,0,1,1,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"35","CARNIVORA","Mustelidae","Mustela","lutreola",4242,"Mustela_lutreola","","440",20,1,1,"1",0,2,0,2,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"36","CARNIVORA","Mustelidae","Gulo","gulo",4196,"Gulo_gulo","","17012.6",20,1,1,"1",0,0,0,0,1,0,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"38","CARNIVORA","Canidae","Vulpes","velox",457,"Vulpes_velox","","2197.5",16,1,1,"1",2,2,0,2,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"39","CARNIVORA","Canidae","Urocyon","cinereoargenteus",446,"Urocyon_cinereoargenteus","","3833.7",15,1,1,"1",0,0,0,1,1,1,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"40","CARNIVORA","Canidae","Vulpes","macrotis",454,"Vulpes_macrotis","","2050",14,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"41","CARNIVORA","Felidae","Lynx","canadensis",2441,"Lynx_canadensis","","9373.2",15,1,1,"1",2,0,2,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"42","CARNIVORA","Mustelidae","Martes","pennanti",4220,"Martes_pennanti","","4000",10,1,1,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"43","CARNIVORA","Mephitidae","Mephitis","mephitis",3169,"Mephitis_mephitis","","2085",10,1,1,"1",1,0,0,1,1,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"44","CARNIVORA","Mustelidae","Galictis","cuja",4193,"Galictis_cuja","","1000",12,1,1,"1",1,1,0,1,1,0,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"45","CARNIVORA","Herpestidae","Herpestes","auropunctatus",NA,"Herpestes_auropunctatus","","750?",11,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,""
"47","CARNIVORA","Canidae","Canis","simensis",421,"Canis_simensis","","10000",11,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"48","CARNIVORA","Canidae","Lycalopex","culpaeus",437,"Lycalopex_culpaeus","Pseudolopex culpaeus","9832.4",10,1,1,"1",2,2,0,2,2,0,2,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"49","CARNIVORA","Felidae","Leopardus","geoffroyi",2432,"Leopardus_geoffroyi","","3590",12,1,1,"1",2,2,2,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"50","CARNIVORA","Eupleridae","Cryptoprocta","ferox",2404,"Cryptoprocta_ferox","","9500",9,1,1,"1",1,2,0,2,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"51","CARNIVORA","Mustelidae","Martes","zibellina",4221,"Martes_zibellina","","1130",10,1,1,"1",2,0,2,0,2,0,2,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"52","CARNIVORA","Canidae","Urocyon","littoralis",447,"Urocyon_littoralis","","1896",8,1,1,"1",0,0,0,1,1,1,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"53","CARNIVORA","Felidae","Caracal","caracal",2424,"Caracal_caracal","","13749.9",9,1,1,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"54","CARNIVORA","Canidae","Speothos","venaticus",444,"Speothos_venaticus","Pseudalopex gymnocercus","6000",10,1,1,"1",3,3,0,3,3,0,3,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"55","CARNIVORA","Canidae","Lycalopex","gymnocercus",440,"Lycalopex_gymnocercus","","4690",9,1,1,"1",1,1,0,1,1,0,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"56","CARNIVORA","Mustelidae","Mustela","nigripes",4244,"Mustela_nigripes","","850",7,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"57","CARNIVORA","Hyaenidae","Hyaena","hyaena",2821,"Hyaena_hyaena","","41705.1",7,1,1,"1",0,0,0,2,2,0,2,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"58","CARNIVORA","Herpestidae","Herpestes","javanicus",2612,"Herpestes_javanicus","","750",8,1,1,"1",1,1,0,1,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
