,PrimaryRef,long,lat,Coordinates.Source,Longitude,Latitude,Potential error,,,,,
113,"Pole, A., Gordon, I. J., Gorman, M. L., & MacAskill, M. (2004). Prey selection by African wild dogs (Lycaon pictus) in southern Zimbabwe.·Journal of Zoology,·262(2), 207-215.",32,-20.08333333,Reported,32∞00íE,20∞05íS,Highly fragmented ranges,,,,,
114,"Ramnanan, R., Swanepoel, L. H., & Somers, M. J. (2013). The diet and presence of African wild dogs (Lycaon pictus) on private land in the Waterberg region, South Africa.·South African Journal of Wildlife Research,·43(1), 68-73.",28.14166667,-24.075,Reported,28∞08í30îE,24∞04í30îS,Highly fragmented ranges,,,,,
115,"Rhodes, R., & Rhodes, G. (2004). Prey selection and use of natural and man-made barriers by African wild dogs while hunting.·South African Journal of Wildlife Research-24-month delayed open access,·34(2), 135-142.",27.97847223,-24.32152778,Reported,27∞54í 55îEñ28∞02í30îE,24∞15í45îSñ24∞22í50îS,Highly fragmented ranges,,,,,
116,"Vogel, John T., Michael J. Somers, and Jan A. Venter. ""The foraging ecology of reintroduced African wild dog in small protected areas.""†Wildlife Biology†2018.1 (2018).",30.799286,-28.684698,GoogleMaps,,,,,,,,
117,"Delibes, M. 1980. Feeding ecology of the Spanish lynx in the Coto Donana. Acta Theriologica 25: 309-324.",-6.5,37,Reported,6' 30'W,37'N,Highly fragmented ranges,,,,,
118,"Fedriani, J. M., F. Palomares and M. Delibes (1999). ""Niche relations among three sympatric Mediterranean carnivores."" Oecologia 121(1): 138-148.",-6.433333333,37.15,Reported,6' 26'W,37∞9¢ N,Highly fragmented ranges,,,,,
122,"Ferreras, Pablo, et al. ""Short-term responses of mammalian carnivores to a sudden collapse of rabbits in Mediterranean Spain.""·Basic and Applied Ecology·12.2 (2011): 116-124.",-6.5,37,Reported,6' 30'W,37'N,Highly fragmented ranges,,,,,
124,"Gil-Sanchez, Jos_ M., Elena Ballesteros-Duper_n, and Jos_ F. Bueno-Segura. ""Feeding ecology of the Iberian lynxLynx pardinus in eastern Sierra Morena (Southern Spain)."" Acta Theriologica 51.1 (2006): 85-90.",-4.0287,38.2894,GoogleMaps,,,,,,,,
125,"Palomares, F., M. Delibes, E. Revilla, J. Calzada and J. M. Fedriani (2001). ""Spatial ecology of Iberian lynx and abundance of European rabbits in southwestern Spain."" Wildlife Monographs(148): 1-36.",-6.433333333,37.15,Reported,6' 26'W,37∞9¢ N,Highly fragmented ranges,,,,,
126,"Balestrieri, Alessandro, et al. ""Food habits of genetically identified pine marten (Martes martes) expanding in agricultural lowlands (NW Italy).""·Acta Theriologica·56.3 (2011): 199-207.",-9.358333334,45.15833334,Reported,8' 64' - 8'99'W,45' 01 - 45' 18'N,Typo in paper,,,9.358333334,45.15833334,
127,"Koike, Shinsuke, et al. ""Insectivory by five sympatric carnivores in cool-temperate deciduous forests.""·Mammal study·37.2 (2012): 73-83.",139.06,35.48,Reported,139.06,35.48,Potentially edge of range.,,,,,
132,"Robitaille, Jean-Fran?ois, and Sophie Laurence. ""More on the validation of fecal samples for the large-scale study of dietary differences between two sympatric carnivores.""·Acta theriologica·52.3 (2007): 307-315.",-81.41666667,45.91666667,Reported,80'35' - 82'15'W,45'50 - 46'N,A bit confusingÖ.,,,,,
136,"Aubry, Keith B., and Catherine M. Raley. ""Ecological characteristics of fishers (Martes pennanti) in the southern Oregon Cascade range."" (2006).",-121.8241,45.5003,GoogleMaps,,,,,,,,
137,"Brown, Mark K., and Gary Will. ""Food habits of the fisher in northern New York.""·New York Fish and Game Journal·26.1 (1979): 87-92.",-73.9879,40.6916,GoogleMaps,,,,,,,,
